glyph_name,ps_name,sort_final_cdg,sort_final_a,assoc_feat_cdg,assoc_feat_a,assoc_feat_val,assoc_uids_cdg,assoc_uids_a,temp_usv,glyphsapp_name,to_review
.notdef,.notdef,0,0,,,,,,,.notdef,
.null,.null,1,1,,,,,,,.null,
nonmarkingreturn,nonmarkingreturn,2,2,,,,,,,nonmarkingreturn,
Space,space,3,3,,,,,,0020,space,
ExclamationMrk,exclam,4,4,,,,,,0021,exclam,
QuotMrk,quotedbl,5,5,,,,,,0022,quotedbl,
NumSgn,numbersign,6,6,,,,,,0023,numbersign,
DollarSgn,dollar,7,7,,,,,,0024,dollar,
PercentSgn,percent,8,8,,,,,,0025,percent,
Ampersand,ampersand,9,9,,,,,,0026,ampersand,
Apos,quotesingle,10,10,,,,,,0027,quotesingle,
LftParen,parenleft,11,11,,,,,,0028,parenleft,
RtParen,parenright,12,12,,,,,,0029,parenright,
Asterisk,asterisk,13,13,,,,,,002A,asterisk,
PlusSgn,plus,14,14,,,,,,002B,plus,
Comma,comma,15,15,,,,,,002C,comma,
HyphenMinus,hyphen,16,16,,,,,,002D,hyphen,
FullStop,period,17,17,,,,,,002E,period,
Solidus,slash,18,18,,,,,,002F,slash,
DigitZero,zero,19,19,,,,,,0030,zero,
DigitOne,one,20,20,,,,,,0031,one,
DigitTwo,two,21,21,,,,,,0032,two,
DigitThree,three,22,22,,,,,,0033,three,
DigitFour,four,23,23,,,,,,0034,four,
DigitFive,five,24,24,,,,,,0035,five,
DigitSix,six,25,25,,,,,,0036,six,
DigitSeven,seven,26,26,,,,,,0037,seven,
DigitEight,eight,27,27,,,,,,0038,eight,
DigitNine,nine,28,28,,,,,,0039,nine,
Colon,colon,29,29,,,,,,003A,colon,
Semicolon,semicolon,30,30,,,,,,003B,semicolon,
LTSgn,less,31,31,,,,,,003C,less,
EqSgn,equal,32,32,,,,,,003D,equal,
GTSgn,greater,33,33,,,,,,003E,greater,
QstnMrk,question,34,34,,,,,,003F,question,
AtSgn,at,35,35,,,,,,0040,at,
LtnCapA,A,36,36,,,,,,0041,A,
LtnCapB,B,37,37,,,,,,0042,B,
LtnCapC,C,38,38,,,,,,0043,C,
LtnCapD,D,39,39,,,,,,0044,D,
LtnCapE,E,40,40,,,,,,0045,E,
LtnCapF,F,41,41,,,,,,0046,F,
LtnCapG,G,42,42,,,,,,0047,G,
LtnCapH,H,43,43,,,,,,0048,H,
LtnCapI,I,44,44,,,,,,0049,I,
LtnCapJ,J,45,45,,,,,,004A,J,
LtnCapK,K,46,46,,,,,,004B,K,
LtnCapL,L,47,47,,,,,,004C,L,
LtnCapM,M,48,48,,,,,,004D,M,
LtnCapN,N,49,49,,,,,,004E,N,
LtnCapO,O,50,50,,,,,,004F,O,
LtnCapP,P,51,51,,,,,,0050,P,
LtnCapQ,Q,52,52,,,,,,0051,Q,
LtnCapR,R,53,53,,,,,,0052,R,
LtnCapS,S,54,54,,,,,,0053,S,
LtnCapT,T,55,55,,,,,,0054,T,
LtnCapU,U,56,56,,,,,,0055,U,
LtnCapV,V,57,57,,,,,,0056,V,
LtnCapW,W,58,58,,,,,,0057,W,
LtnCapX,X,59,59,,,,,,0058,X,
LtnCapY,Y,60,60,,,,,,0059,Y,
LtnCapZ,Z,61,61,,,,,,005A,Z,
LftSqrBrac,bracketleft,62,62,,,,,,005B,bracketleft,
ReverseSolidus,backslash,63,63,,,,,,005C,backslash,
RtSqrBrac,bracketright,64,64,,,,,,005D,bracketright,
CircumAccent,asciicircum,65,65,,,,,,005E,asciicircum,
LowLine,underscore,66,66,,,,,,005F,underscore,
GraveAccent,grave,67,67,,,,,,0060,grave,
LtnSmA,a,68,1010.14,,ss01,,,0061,0061,a,
LtnSmB,b,69,69,,,,,,0062,b,
LtnSmC,c,70,70,,,,,,0063,c,
LtnSmD,d,71,71,,,,,,0064,d,
LtnSmE,e,72,72,,,,,,0065,e,
LtnSmF,f,73,73,,,,,,0066,f,
LtnSmG,g,74,1610.1,,ss01,,,0067,0067,g,
LtnSmH,h,75,75,,,,,,0068,h,
LtnSmI,i,76,76,,,,,,0069,i,
LtnSmJ,j,77,77,,,,,,006A,j,
LtnSmK,k,78,78,,,,,,006B,k,
LtnSmL,l,79,79,,,,,,006C,l,
LtnSmM,m,80,80,,,,,,006D,m,
LtnSmN,n,81,81,,,,,,006E,n,
LtnSmO,o,82,82,,,,,,006F,o,
LtnSmP,p,83,83,,,,,,0070,p,
LtnSmQ,q,84,84,,,,,,0071,q,
LtnSmR,r,85,85,,,,,,0072,r,
LtnSmS,s,86,86,,,,,,0073,s,
LtnSmT,t,87,87,,,,,,0074,t,
LtnSmU,u,88,88,,,,,,0075,u,
LtnSmV,v,89,89,,,,,,0076,v,
LtnSmW,w,90,90,,,,,,0077,w,
LtnSmX,x,91,91,,,,,,0078,x,
LtnSmY,y,92,92,,,,,,0079,y,
LtnSmZ,z,93,93,,,,,,007A,z,
LftCurlyBrac,braceleft,94,94,,,,,,007B,braceleft,
VertLine,bar,95,95,,,,,,007C,bar,
RtCurlyBrac,braceright,96,96,,,,,,007D,braceright,
Tilde,asciitilde,97,97,,,,,,007E,asciitilde,
LtnCapADiaer,Adieresis,98,98,,,,,,00C4,Adieresis,
LtnCapARingAbv,Aring,99,99,,,,,,00C5,Aring,
LtnCapCCedilla,Ccedilla,100,100,,,,,,00C7,Ccedilla,
LtnCapEAcute,Eacute,101,101,,,,,,00C9,Eacute,
LtnCapNTilde,Ntilde,102,102,,,,,,00D1,Ntilde,
LtnCapODiaer,Odieresis,103,103,,,,,,00D6,Odieresis,
LtnCapUDiaer,Udieresis,104,104,,,,,,00DC,Udieresis,
LtnSmAAcute,aacute,105,105,,ss01,,,00E1,00E1,aacute,
LtnSmAGrave,agrave,106,106,,ss01,,,00E0,00E0,agrave,
LtnSmACircum,acircumflex,107,107,,ss01,,,00E2,00E2,acircumflex,
LtnSmADiaer,adieresis,108,108,,ss01,,,00E4,00E4,adieresis,
LtnSmATilde,atilde,109,109,,ss01,,,00E3,00E3,atilde,
LtnSmARingAbv,aring,110,110,,ss01,,,00E5,00E5,aring,
LtnSmCCedilla,ccedilla,111,111,,,,,,00E7,ccedilla,
LtnSmEAcute,eacute,112,112,,,,,,00E9,eacute,
LtnSmEGrave,egrave,113,113,,,,,,00E8,egrave,
LtnSmECircum,ecircumflex,114,114,,,,,,00EA,ecircumflex,
LtnSmEDiaer,edieresis,115,115,,,,,,00EB,edieresis,
LtnSmIAcute,iacute,116,116,,,,,,00ED,iacute,
LtnSmIGrave,igrave,117,117,,,,,,00EC,igrave,
LtnSmICircum,icircumflex,118,118,,,,,,00EE,icircumflex,
LtnSmIDiaer,idieresis,119,119,,,,,,00EF,idieresis,
LtnSmNTilde,ntilde,120,120,,,,,,00F1,ntilde,
LtnSmOAcute,oacute,121,121,,,,,,00F3,oacute,
LtnSmOGrave,ograve,122,122,,,,,,00F2,ograve,
LtnSmOCircum,ocircumflex,123,123,,,,,,00F4,ocircumflex,
LtnSmODiaer,odieresis,124,124,,,,,,00F6,odieresis,
LtnSmOTilde,otilde,125,125,,,,,,00F5,otilde,
LtnSmUAcute,uacute,126,126,,,,,,00FA,uacute,
LtnSmUGrave,ugrave,127,127,,,,,,00F9,ugrave,
LtnSmUCircum,ucircumflex,128,128,,,,,,00FB,ucircumflex,
LtnSmUDiaer,udieresis,129,129,,,,,,00FC,udieresis,
Dagger,dagger,130,130,,,,,,2020,dagger,
DegreeSgn,degree,131,131,,,,,,00B0,degree,
CentSgn,cent,132,132,,,,,,00A2,cent,
PoundSgn,sterling,133,133,,,,,,00A3,sterling,
SectionSgn,section,134,134,,,,,,00A7,section,
Bullet,bullet,135,135,,,,,,2022,bullet,
PilcrowSgn,paragraph,136,136,,,,,,00B6,paragraph,
LtnSmSharpS,germandbls,137,137,,,,,,00DF,germandbls,
RegisteredSgn,registered,138,138,,,,,,00AE,registered,
CopyrightSgn,copyright,139,139,,,,,,00A9,copyright,
TradeMrkSgn,trademark,140,140,,,,,,2122,trademark,
AcuteAccent,acute,141,141,,,,,,00B4,acute,
Diaer,dieresis,142,142,,,,,,00A8,dieresis,
NotEqTo,notequal,143,143,,,,,,2260,notequal,
LtnCapAe,AE,144,144,,,,,,00C6,AE,
LtnCapOStrk,Oslash,145,145,,,,,,00D8,Oslash,
Infinity,infinity,146,146,,,,,,221E,infinity,
PlusMinusSgn,plusminus,147,147,,,,,,00B1,plusminus,
LTOrEqTo,lessequal,148,148,,,,,,2264,lessequal,
GTOrEqTo,greaterequal,149,149,,,,,,2265,greaterequal,
YenSgn,yen,150,150,,,,,,00A5,yen,
MicroSgn,mu,151,151,,,,,,00B5,micro,
PartialDiff,partialdiff,152,152,,,,,,2202,partialdiff,
NArySummation,summation,153,153,,,,,,2211,summation,
NAryProduct,product,154,154,,,,,,220F,product,
GrSmPi,pi,155,155,,,,,,03C0,pi,
Integral,integral,156,156,,,,,,222B,integral,
FemOrdIndicator,ordfeminine,157,157,,ss01,,,00AA,00AA,ordfeminine,
MascOrdIndicator,ordmasculine,158,158,,,,,,00BA,ordmasculine,
OhmSgn,Omega,159,159,,,,,,2126,Ohm,
LtnSmAe,ae,160,160,,,,,,00E6,ae,
LtnSmOStrk,oslash,161,161,,,,,,00F8,oslash,
InvQstnMrk,questiondown,162,162,,,,,,00BF,questiondown,
InvExclamationMrk,exclamdown,163,163,,,,,,00A1,exclamdown,
NotSgn,logicalnot,164,164,,,,,,00AC,logicalnot,
SqrRoot,radical,165,165,,,,,,221A,radical,
LtnSmFHook,florin,166,166,,,,,,0192,florin,
AlmostEqTo,approxequal,167,167,,,,,,2248,approxequal,
Increment,Delta,168,168,,,,,,2206,increment,
LftPtngDblAngQuotMrk,guillemotleft,169,169,,,,,,00AB,guillemetleft,
RtPtngDblAngQuotMrk,guillemotright,170,170,,,,,,00BB,guillemetright,
HorizEllipsis,ellipsis,171,171,,,,,,2026,ellipsis,
NoBreakSpace,uni00A0,172,172,,,,,,00A0,nbspace,
LtnCapAGrave,Agrave,173,173,,,,,,00C0,Agrave,
LtnCapATilde,Atilde,174,174,,,,,,00C3,Atilde,
LtnCapOTilde,Otilde,175,175,,,,,,00D5,Otilde,
LtnCapLigOe,OE,176,176,,,,,,0152,OE,
LtnSmLigOe,oe,177,177,,,,,,0153,oe,
EnDash,endash,178,178,,,,,,2013,endash,
EmDash,emdash,179,179,,,,,,2014,emdash,
LftDblQuotMrk,quotedblleft,180,180,,,,,,201C,quotedblleft,
RtDblQuotMrk,quotedblright,181,181,,,,,,201D,quotedblright,
LftSglQuotMrk,quoteleft,182,182,,,,,,2018,quoteleft,
RtSglQuotMrk,quoteright,183,183,,,,,,2019,quoteright,
DivSgn,divide,184,184,,,,,,00F7,divide,
Lozenge,lozenge,185,185,,,,,,25CA,lozenge,
LtnSmYDiaer,ydieresis,186,186,,,,,,00FF,ydieresis,
LtnCapYDiaer,Ydieresis,187,187,,,,,,0178,Ydieresis,
FracSlash,fraction,188,188,,,,,,2044,fraction,
CurrSgn,currency,189,189,,,,,,00A4,currency,
SglLftPtngAngQuotMrk,guilsinglleft,190,190,,,,,,2039,guilsinglleft,
SglRtPtngAngQuotMrk,guilsinglright,191,191,,,,,,203A,guilsinglright,
LtnSmLigFi,fi,192,192,,,,,,FB01,fi,
LtnSmLigFl,fl,193,193,,,,,,FB02,fl,
DblDagger,daggerdbl,194,194,,,,,,2021,daggerdbl,
MiddleDot,periodcentered,195,195,,,,,,00B7,periodcentered,
SglLow9QuotMrk,quotesinglbase,196,196,,,,,,201A,quotesinglbase,
DblLow9QuotMrk,quotedblbase,197,197,,,,,,201E,quotedblbase,
PerMilleSgn,perthousand,198,198,,,,,,2030,perthousand,
LtnCapACircum,Acircumflex,199,199,,,,,,00C2,Acircumflex,
LtnCapECircum,Ecircumflex,200,200,,,,,,00CA,Ecircumflex,
LtnCapAAcute,Aacute,201,201,,,,,,00C1,Aacute,
LtnCapEDiaer,Edieresis,202,202,,,,,,00CB,Edieresis,
LtnCapEGrave,Egrave,203,203,,,,,,00C8,Egrave,
LtnCapIAcute,Iacute,204,204,,,,,,00CD,Iacute,
LtnCapICircum,Icircumflex,205,205,,,,,,00CE,Icircumflex,
LtnCapIDiaer,Idieresis,206,206,,,,,,00CF,Idieresis,
LtnCapIGrave,Igrave,207,207,,,,,,00CC,Igrave,
LtnCapOAcute,Oacute,208,208,,,,,,00D3,Oacute,
LtnCapOCircum,Ocircumflex,209,209,,,,,,00D4,Ocircumflex,
DottedCirc,uni25CC,210,210,,,,,,25CC,dottedCircle,
LtnCapOGrave,Ograve,211,211,,,,,,00D2,Ograve,
LtnCapUAcute,Uacute,212,212,,,,,,00DA,Uacute,
LtnCapUCircum,Ucircumflex,213,213,,,,,,00DB,Ucircumflex,
LtnCapUGrave,Ugrave,214,214,,,,,,00D9,Ugrave,
LtnSmDotlessI,dotlessi,215,215,,,,,,0131,idotless,
ModCircumAccent,circumflex,216,216,,,,,,02C6,circumflex,
SmTilde,tilde,217,217,,,,,,02DC,tilde,
Macron,macron,218,218,,,,,,00AF,macron,
Breve,breve,219,219,,,,,,02D8,breve,
DotAbv,dotaccent,220,220,,,,,,02D9,dotaccent,
RingAbv,ring,221,221,,,,,,02DA,ring,
Cedilla,cedilla,222,222,,,,,,00B8,cedilla,
DblAcuteAccent,hungarumlaut,223,223,,,,,,02DD,hungarumlaut,
Ogonek,ogonek,224,224,,,,,,02DB,ogonek,
Caron,caron,225,225,,,,,,02C7,caron,
LtnSmA.2StorySItal,a.2StorySItal,1000.11,1000.11,ss05,ss05,,0061,0061,,a.2StorySItal,
CySmA,uni0430,1000.15,1000.15,,,,,,0430,a-cy,
LtnSubSmA,uni2090,1000.21,1000.21,,ss01,,,2090,2090,ainferior,
LtnSubSmA.SngStory,uni2090.SngStory,1000.2114,1000.2114,ss01,,,2090,,,ainferior.SngStory,
CySubSmA,u1E051,1000.215,1000.215,,,,,,1E051,asubscript-cy,
LtnSupSmA,uni1D43,1000.22,1000.22,,ss01,,,1D43,1D43,amod,
LtnSupSmA.SngStory,uni1D43.SngStory,1000.2214,1000.2214,ss01,,,1D43,,,amod.SngStory,
ModCySmA,u1E030,1000.225,1000.225,,,,,,1E030,amod-cy,
CombLtnSmA,uni0363,1000.24,1000.24,,ss01,,,0363,0363,acomb,
CombLtnSmA.SngStory,uni0363.SngStory,1000.2414,1000.2414,ss01,,,0363,,,acomb.SngStory,
LtnSmADblGrave,uni0201,1000.314,1000.314,,ss01,,,0201,0201,adblgrave,
LtnSmACircumDotBlw,uni1EAD,1000.321,1000.321,,ss01,,,1EAD,1EAD,acircumflexdotbelow,
LtnSmACircumAcute,uni1EA5,1000.32311,1000.32311,,ss01,,,1EA5,1EA5,acircumflexacute,
LtnSmACircumAcute.VN,uni1EA5.VN,1000.323111,1000.323111,cv75,cv75,,1EA5,1EA5,,acircumflexacute.VN,
LtnSmACircumAcute.2StorySItal,uni1EA5.2StorySItal,1000.323111,1000.323111,ss05,ss05,,1EA5,1EA5,,acircumflexacute.2StorySItal,
LtnSmACircumAcute.2StorySItal.VN,uni1EA5.2StorySItal.VN,1000.323111,1000.323111,,,,1EA5,1EA5,,acircumflexacute.2StorySItal.VN,
LtnSmACircumGrave,uni1EA7,1000.32313,1000.32313,,ss01,,,1EA7,1EA7,acircumflexgrave,
LtnSmACircumGrave.VN,uni1EA7.VN,1000.323131,1000.323131,cv75,cv75,,1EA7,1EA7,,acircumflexgrave.VN,
LtnSmACircumGrave.2StorySItal,uni1EA7.2StorySItal,1000.323131,1000.323131,ss05,ss05,,1EA7,1EA7,,acircumflexgrave.2StorySItal,
LtnSmACircumGrave.2StorySItal.VN,uni1EA7.2StorySItal.VN,1000.323131,1000.323131,,,,1EA7,1EA7,,acircumflexgrave.2StorySItal.VN,
LtnSmACircumTilde,uni1EAB,1000.3234,1000.3234,,ss01,,,1EAB,1EAB,acircumflextilde,
LtnSmACircumTilde.VN,uni1EAB.VN,1000.32341,1000.32341,cv75,cv75,,1EAB,1EAB,,acircumflextilde.VN,
LtnSmACircumTilde.2StorySItal.VN,uni1EAB.2StorySItal.VN,1000.323411,1000.323411,,,,1EAB,1EAB,,acircumflextilde.2StorySItal.VN,
LtnSmACircumTilde.2StorySItal,uni1EAB.2StorySItal,1000.323411,1000.323411,ss05,ss05,,1EAB,1EAB,,acircumflextilde.2StorySItal,
LtnSmACircumHookAbv,uni1EA9,1000.3238,1000.3238,,ss01,,,1EA9,1EA9,acircumflexhookabove,
LtnSmACircumHookAbv.VN,uni1EA9.VN,1000.32381,1000.32381,cv75,cv75,,1EA9,1EA9,,acircumflexhookabove.VN,
LtnSmACircumHookAbv.2StorySItal,uni1EA9.2StorySItal,1000.323811,1000.323811,ss05,ss05,,1EA9,1EA9,,acircumflexhookabove.2StorySItal,
LtnSmACircumHookAbv.2StorySItal.VN,uni1EA9.2StorySItal.VN,1000.323811,1000.323811,,,,1EA9,1EA9,,acircumflexhookabove.2StorySItal.VN,
LtnSmAInvBreve,uni0203,1000.331,1000.331,,ss01,,,0203,0203,ainvertedbreve,
LtnSmABreve,abreve,1000.332,1000.332,,ss01,,,0103,0103,abreve,
LtnSmABreveDotBlw,uni1EB7,1000.3321,1000.3321,,ss01,,,1EB7,1EB7,abrevedotbelow,
LtnSmABreveAcute,uni1EAF,1000.332311,1000.332311,,ss01,,,1EAF,1EAF,abreveacute,
LtnSmABreveAcute.VN,uni1EAF.VN,1000.332312,1000.332312,cv75,cv75,,1EAF,1EAF,,abreveacute.VN,
LtnSmABreveAcute.2StorySItal.VN,uni1EAF.2StorySItal.VN,1000.332312,1000.332312,,,,1EAF,1EAF,,abreveacute.2StorySItal.VN,
LtnSmABreveGrave,uni1EB1,1000.332313,1000.332313,,ss01,,,1EB1,1EB1,abrevegrave,
LtnSmABreveGrave.VN,uni1EB1.VN,1000.332314,1000.332314,cv75,cv75,,1EB1,1EB1,,abrevegrave.VN,
LtnSmABreveGrave.2StorySItal.VN,uni1EB1.2StorySItal.VN,1000.332314,1000.332314,,,,1EB1,1EB1,,abrevegrave.2StorySItal.VN,
LtnSmABreveTilde,uni1EB5,1000.33234,1000.33234,,ss01,,,1EB5,1EB5,abrevetilde,
LtnSmABreveTilde.VN,uni1EB5.VN,1000.332341,1000.332341,cv75,cv75,,1EB5,1EB5,,abrevetilde.VN,
LtnSmABreveTilde.2StorySItal.VN,uni1EB5.2StorySItal.VN,1000.332341,1000.332341,,,,1EB5,1EB5,,abrevetilde.2StorySItal.VN,
LtnSmABreveHookAbv,uni1EB3,1000.33238,1000.33238,,ss01,,,1EB3,1EB3,abrevehookabove,
LtnSmABreveHookAbv.VN,uni1EB3.VN,1000.332381,1000.332381,cv75,cv75,,1EB3,1EB3,,abrevehookabove.VN,
LtnSmABreveHookAbv.2StorySItal.VN,uni1EB3.2StorySItal.VN,1000.332381,1000.332381,,,,1EB3,1EB3,,abrevehookabove.2StorySItal.VN,
CySmABreve,uni04D1,1000.333,1000.333,,,,,,04D1,abreve-cy,
LtnSmACaron,uni01CE,1000.334,1000.334,,ss01,,,01CE,01CE,acaron,
LtnSmAMacron,amacron,1000.35,1000.35,,ss01,,,0101,0101,amacron,
CySmADiaer,uni04D3,1000.361,1000.361,,,,,,04D3,adieresis-cy,
LtnSmADiaerMacron,uni01DF,1000.3635,1000.3635,,ss01,,,01DF,01DF,adieresismacron,
LtnSmADotAbv,uni0227,1000.371,1000.371,,ss01,,,0227,0227,adotaccent,
LtnSmADotAbvMacron,uni01E1,1000.37135,1000.37135,,ss01,,,01E1,01E1,adotmacron,
LtnSmARingAbvAcute,aringacute,1000.373331,1000.373331,,ss01,,,01FB,01FB,aringacute,
LtnSmARtHalfRing,uni1E9A,1000.374,1000.374,,ss01,,,1E9A,1E9A,arighthalfring,
LtnSmAHookAbv,uni1EA3,1000.38,1000.38,,ss01,,,1EA3,1EA3,ahookabove,
LtnSmAEgAlef,uniA7BB,1000.39,1000.39,,ss01,,,A7BB,A7BB,aglottal,
LtnSmADotBlw,uni1EA1,1000.471,1000.471,,ss01,,,1EA1,1EA1,adotbelow,
LtnSmARingBlw,uni1E01,1000.473,1000.473,,ss01,,,1E01,1E01,aringbelow,
LtnSmAOgonek,aogonek,1000.62,1000.62,,ss01,,,0105,0105,aogonek,
LtnSmAOgonek.RetroHook,aogonek.RetroHook,1000.63,1000.63,cv76,cv76,,0105,0105,,aogonek.RetroHook,
LtnSmARetrHook,uni1D8F,1000.64,1000.64,,,,,,1D8F,aretroflexhook,
LtnSmAStrk,uni2C65,1000.75,1000.75,,ss01,,,2C65,2C65,astroke,
LtnSmACirc,uni24D0,1000.9,1000.9,,,,,,24D0,a.circled,
LtnSmATilde.2StorySItal,atilde.2StorySItal,1001.34,1001.34,ss05,ss05,,00E3,00E3,,atilde.2StorySItal,
LtnSmADotBlw.2StorySItal,uni1EA1.2StorySItal,1001.471,1001.471,ss05,ss05,,1EA1,1EA1,,adotbelow.2StorySItal,
LtnSmAADigraph,uniA733,1002.1,1002.1,,,,,,A733,aa,
LtnSmAODigraph,uniA735,1003.1,1003.1,,,,,,A735,ao,
LtnSmAUDigraph,uniA737,1004.1,1004.1,,,,,,A737,au,
LtnSmAVDigraph,uniA739,1005.1,1005.1,,,,,,A739,av,
LtnSmAVDigraphStrk,uniA73B,1005.75,1005.75,,,,,,A73B,avhorizontalbar,
LtnSmAYDigraph,uniA73D,1006.1,1006.1,,,,,,A73D,ay,
LtnSmTurnedA,uni0250,1009.1,1009.1,,,,,,0250,aturned,
LtnSmTurnedA.2StorySItal,uni0250.2StorySItal,1009.11,1009.11,ss05,ss05,,0250,0250,,aturned.2StorySItal,
LtnSupSmTurnedA,uni1D44,1009.22,1009.22,,,,,,1D44,aTurnedmod,
LtnSmAlpha,uni0251,1010.1,1010.1,,,,,,0251,alpha-latin,
LtnSmBarredAlpha,uniAB30,1010.1171,1010.1171,,,,,,AB30,alphabarred,
LtnSmAStrk.2StorySItal,uni2C65.2StorySItal,1010.1175,1010.1175,ss05,ss05,,2C65,2C65,,astroke.2StorySItal,
LtnSmA.SngStory,a.SngStory,1010.14,68,ss01,,,0061,,,a.SngStory,
LtnSmAAcute.SngStory,aacute.SngStory,1010.14311,1010.14311,ss01,,,00E1,,,aacute.SngStory,
LtnSmAGrave.SngStory,agrave.SngStory,1010.14313,1010.14313,ss01,,,00E0,,,agrave.SngStory,
LtnSmADblGrave.SngStory,uni0201.SngStory,1010.14314,1010.14314,ss01,,,0201,,,adblgrave.SngStory,
LtnSmACircum.SngStory,acircumflex.SngStory,1010.1432,1010.1432,ss01,,,00E2,,,acircumflex.SngStory,
LtnSmACircumDotBlw.SngStory,uni1EAD.SngStory,1010.14321,1010.14321,ss01,,,1EAD,,,acircumflexdotbelow.SngStory,
LtnSmACircumAcute.SngStory,uni1EA5.SngStory,1010.143231,1010.143231,ss01,,,1EA5,,,acircumflexacute.SngStory,
LtnSmACircumAcute.SngStory.VN,uni1EA5.SngStory.VN,1010.143231,1010.143231,,,,1EA5,1EA5,,acircumflexacute.SngStory.VN,
LtnSmACircumGrave.SngStory,uni1EA7.SngStory,1010.143231,1010.143231,ss01,,,1EA7,,,acircumflexgrave.SngStory,
LtnSmACircumGrave.SngStory.VN,uni1EA7.SngStory.VN,1010.143231,1010.143231,,,,1EA7,1EA7,,acircumflexgrave.SngStory.VN,
LtnSmACircumTilde.SngStory,uni1EAB.SngStory,1010.143234,1010.143234,ss01,,,1EAB,,,acircumflextilde.SngStory,
LtnSmACircumTilde.SngStory.VN,uni1EAB.SngStory.VN,1010.143234,1010.143234,,,,1EAB,1EAB,,acircumflextilde.SngStory.VN,
LtnSmACircumHookAbv.SngStory,uni1EA9.SngStory,1010.143238,1010.143238,ss01,,,1EA9,,,acircumflexhookabove.SngStory,
LtnSmACircumHookAbv.SngStory.VN,uni1EA9.SngStory.VN,1010.143238,1010.143238,,,,1EA9,1EA9,,acircumflexhookabove.SngStory.VN,
LtnSmAInvBreve.SngStory,uni0203.SngStory,1010.14331,1010.14331,ss01,,,0203,,,ainvertedbreve.SngStory,
LtnSmABreve.SngStory,abreve.SngStory,1010.14332,1010.14332,ss01,,,0103,,,abreve.SngStory,
LtnSmABreveDotBlw.SngStory,uni1EB7.SngStory,1010.143321,1010.143321,ss01,,,1EB7,,,abrevedotbelow.SngStory,
LtnSmABreveAcute.SngStory,uni1EAF.SngStory,1010.143323,1010.143323,ss01,,,1EAF,,,abreveacute.SngStory,
LtnSmABreveAcute.SngStory.VN,uni1EAF.SngStory.VN,1010.143323,1010.143323,,,,1EAF,1EAF,,abreveacute.SngStory.VN,
LtnSmABreveGrave.SngStory,uni1EB1.SngStory,1010.143323,1010.143323,ss01,,,1EB1,,,abrevegrave.SngStory,
LtnSmABreveGrave.SngStory.VN,uni1EB1.SngStory.VN,1010.143323,1010.143323,,,,1EB1,1EB1,,abrevegrave.SngStory.VN,
LtnSmABreveTilde.SngStory,uni1EB5.SngStory,1010.143323,1010.143323,ss01,,,1EB5,,,abrevetilde.SngStory,
LtnSmABreveTilde.SngStory.VN,uni1EB5.SngStory.VN,1010.143323,1010.143323,,,,1EB5,1EB5,,abrevetilde.SngStory.VN,
LtnSmABreveHookAbv.SngStory,uni1EB3.SngStory,1010.143324,1010.143324,ss01,,,1EB3,,,abrevehookabove.SngStory,
LtnSmABreveHookAbv.SngStory.VN,uni1EB3.SngStory.VN,1010.143324,1010.143324,,,,1EB3,1EB3,,abrevehookabove.SngStory.VN,
LtnSmACaron.SngStory,uni01CE.SngStory,1010.14334,1010.14334,ss01,,,01CE,,,acaron.SngStory,
LtnSmATilde.SngStory,atilde.SngStory,1010.1434,1010.1434,ss01,,,00E3,,,atilde.SngStory,
LtnSmAMacron.SngStory,amacron.SngStory,1010.1435,1010.1435,ss01,,,0101,,,amacron.SngStory,
LtnSmADiaer.SngStory,adieresis.SngStory,1010.1436,1010.1436,ss01,,,00E4,,,adieresis.SngStory,
LtnSmADiaerMacron.SngStory,uni01DF.SngStory,1010.143635,1010.143635,ss01,,,01DF,,,adieresismacron.SngStory,
LtnSmADotAbv.SngStory,uni0227.SngStory,1010.14371,1010.14371,ss01,,,0227,,,adotaccent.SngStory,
LtnSmADotAbvMacron.SngStory,uni01E1.SngStory,1010.143714,1010.143714,ss01,,,01E1,,,adotmacron.SngStory,
LtnSmARingAbv.SngStory,aring.SngStory,1010.14373,1010.14373,ss01,,,00E5,,,aring.SngStory,
LtnSmARingAbvAcute.SngStory,aringacute.SngStory,1010.143733,1010.143733,ss01,,,01FB,,,aringacute.SngStory,
LtnSmARtHalfRing.SngStory,uni1E9A.SngStory,1010.14374,1010.14374,ss01,,,1E9A,,,arighthalfring.SngStory,
LtnSmAHookAbv.SngStory,uni1EA3.SngStory,1010.1438,1010.1438,ss01,,,1EA3,,,ahookabove.SngStory,
LtnSmAEgAlef.SngStory,uniA7BB.SngStory,1010.1439,1010.1439,ss01,,,A7BB,,,aglottal.SngStory,
LtnSmADotBlw.SngStory,uni1EA1.SngStory,1010.14471,1010.14471,ss01,,,1EA1,,,adotbelow.SngStory,
LtnSmARingBlw.SngStory,uni1E01.SngStory,1010.14473,1010.14473,ss01,,,1E01,,,aringbelow.SngStory,
LtnSmAOgonek.SngStory,aogonek.SngStory,1010.1462,1010.1462,ss01,,,0105,,,aogonek.SngStory,
LtnSmAOgonek.SngStory.RetroHook,aogonek.SngStory.RetroHook,1010.1463,1010.1463,,,,0105,0105,,aogonek.SngStory.RetroHook,
LtnSmAStrk.SngStory,uni2C65.SngStory,1010.1475,1010.1475,ss01,,,2C65,,,astroke.SngStory,
LtnSupSmAlpha,uni1D45,1010.22,1010.22,,,,,,1D45,alphamod-latin,
